Company,Symbol,Ticker,Industry,Entry date
Adani Ports & SEZ,ADANIPORTS.BO,532921,Ports,24 June 2024[8]
Asian Paints,ASIANPAINT.BO,500820,Consumer Durables,21 December 2015[9]
Axis Bank,AXISBANK.BO,532215,Banks,23 December 2013[10]
Bajaj Finance,BAJFINANCE.BO,500034,Finance,24 December 2018[11]
Bajaj Finserv,BAJAJFINSV.BO,532978,Finance,22 June 2020[12]
Bharat Electronics,BEL.BO,500049,Aerospace & Defence,23 June 2025[13]
Bharti Airtel,BHARTIARTL.BO,532454,Telecommunication,10 November 2003[14]
Eternal,ETERNAL.BO,543320,Retailing,23 December 2024[15]
HCLTech,HCLTECH.BO,532281,IT,24 December 2018[11]
HDFC Bank,HDFCBANK.BO,500180,Banks,10 November 2003[14]
Hindustan Unilever,HINDUNILVR.BO,500696,FMCG,2 January 1986[16]
ICICI Bank,ICICIBANK.BO,532174,Banks,31 May 2002[14]
Infosys,INFY.BO,500209,IT,16 November 1998[14]
ITC,ITC.BO,500875,FMCG,2 January 1986[16]
Kotak Mahindra Bank,KOTAKBANK.BO,500247,Banks,19 June 2017[17]
Larsen & Toubro,LT.BO,500510,Construction,27 September 2004[14]
Mahindra & Mahindra,M&M.BO,500520,Automobiles,9 July 2007[14]
Maruti Suzuki,MARUTI.BO,532500,Automobiles,19 May 2004[14]
NTPC,NTPC.BO,532555,Power,6 June 2005[14]
Power Grid,POWERGRID.BO,532898,Power,20 June 2016[18]
Reliance Industries,RELIANCE.BO,500325,Petroleum,2 January 1986[16]
State Bank of India,SBIN.BO,500112,Banks,19 August 1996[14]
Sun Pharma,SUNPHARMA.BO,524715,Pharmaceuticals,8 August 2011[19]
Tata Consultancy Services,TCS.BO,532540,IT,6 June 2005[14]
Tata Motors,TATAMOTORS.BO,500570,Automobiles,19 December 2022[20]
Tata Steel,TATASTEEL.BO,500470,Metals,21 June 2021[21]
Tech Mahindra,TECHM.BO,532755,IT,24 June 2019[22]
Titan Company,TITAN.BO,500114,Consumer Durables,23 December 2019[23]
Trent,TRENT.BO,500251,Retailing,23 June 2025[13]
UltraTech Cement,ULTRACEMCO.BO,532538,Cement,23 December 2019[23]
