S.No.,Date,Points,Reason
1,28 April 1992,570[81],
2,17 May 2004,565,
3,15 May 2006,463,
4,18 May 2006,826[82],
5,19 May 2006,453,
6,22 May 2006,457,
7,2 April 2007,617,
8,1 August 2007,615,
9,16 August 2007,642.70,
10,17 October 2007,717.43,
11,21 November 2007,678.18,
12,17 December 2007,769.48,
13,18 January 2008,687.82,
14,21 January 2008,1408.35[83],Due to the US subprime mortgage crisis.
15,22 January 2008,875,Due to the US subprime mortgage crisis.
16,11 February 2008,833.98,
17,3 March 2008,900.84,
18,13 March 2008,770.63,
19,17 March 2008,951.03[84],
20,31 March 2008,726.85,
21,27 June 2008,600,
22,15 September 2008,710,
23,6 October 2008,724.62,
24,10 October 2008,792.17,
25,24 October 2008,704,
26,7 January 2009,749.05,
27,6 July 2009,869.65[85],
28,17 August 2009,626.71,
29,12 November 2010,432,
30,16 November 2010,444.55,
31,4 February 2011,441.92,
32,24 February 2011,545.92,
33,22 September 2011,704[86],
34,27 February 2012,477.82,
35,13 May 2013,430.65[87],
36,31 May 2013,455.10,
37,20 June 2013,526.41[88],
38,6 August 2013,449.22[89],
39,16 August 2013,769.41,Due to depreciation of the Indian rupee.[90][91]
40,27 August 2013,590.05[92],
41,3 September 2013,651.47,
42,18 November 2013,451.32,
43,8 July 2014,517.97,
44,16 December 2014,538.12,
45,6 January 2015,854.86[93],
46,30 January 2015,498.82,
47,9 February 2015,490.52,
48,9 March 2015,604.17,
49,26 March 2015,654.25,
50,5 May 2015,722,
51,24 August 2015,1624.51[94],Driven by the meltdown in the Chinese stock market.[95]
52,22 September 2015,541.14[96],
53,4 January 2016,537.55,
54,7 January 2016,554.50[97],
55,11 February 2016,807.07[98],
56,11 November 2016,698.86[99],Driven by 2016 US Election Results.[100]
57,2 February 2018,839.91[101],Driven by 2018 Union Budget of India.[102]
58,4 October 2018,806.47[103],"Panic fall, due to oil price increase and rupee fall against US Dollar.[104]"
59,5 October 2018,800.51,"Panic fall, due to oil price increase and rupee fall against US Dollar.[104]"
60,8 July 2019,792.82[105],Driven by Union Budget and global equity sell off.
61,13 August 2019,624[106],
62,22 August 2019,587.44[107],Due to concerns about slowing Indian economy.[107]
62,6 January 2020,787.98[108],
63,1 February 2020,987.96[109],Driven by 2020 Union Budget of India.
64,28 February 2020,1448.37[110],Driven by coronavirus outbreak.
65,6 March 2020,893.99[111],Due to global sell-off driven by coronavirus concerns.
66,9 March 2020,1941.67[112],Due to coronavirus concerns.
67,12 March 2020,2919.26[113],Due to coronavirus concerns.
68,16 March 2020,2713.41[114],Due to coronavirus concerns.
69,17 March 2020,810.98[115],Due to coronavirus concerns and fears of recession.
70,18 March 2020,1709.58[116],Due to the COVID-19 pandemic.[117]
71,19 March 2020,581.28[118],Due to the COVID-19 pandemic.
72,23 March 2020,3934.72[119],Due to the COVID-19 pandemic and nationwide lockdown.
73,1 April 2020,1203.18[120],Due to the COVID-19 pandemic.
74,3 April 2020,674.36[121],Due to the COVID-19 pandemic.
75,24 April 2020,535.86[122],Due to the COVID-19 pandemic.
76,4 May 2020,2002.27[123],Due to the COVID-19 pandemic.
77,14 May 2020,885.72[124],Due to the COVID-19 pandemic.
78,18 May 2020,1068.75[125],Due to the COVID-19 pandemic.
79,11 June 2020,708.68[126],Driven by global equity sell-off.[126]
80,5 April 2021,708.69[127],Due to the second wave of coronavirus in India.[127]
81,13 April 2021,1708[128],Due to second wave of coronavirus and lockdown threats.
82,31 October 2021,677.77[129],"Continuous selling by FIIs, dull global performance and mixed corporate earnings."
83,24 February 2022,2702.15[130],Driven by Russian invasion of Ukraine
84,19 May 2022,1416.30[131],Driven by inflation concerns
85,4 June 2024,4389.73[132],Driven due to 2024 Lok Sabha election
86,5 August 2024,2222.55 [133][134],"The global sell-off was primarily driven by fears of a U.S. recession, weak U.S. unemployment data, geopolitical tensions, and the unwinding of the Yen trade."
87,7 April 2025,2226.79,This downturn was primarily attributed to investor concerns regarding U.S. tariff policies and the potential for escalating global trade tensions.[135]
