0,1
"CAC 40 performance since 31 December 1987, linked to ""indice Insee de la Bourse de Paris' from 1965 to 1987.","CAC 40 performance since 31 December 1987, linked to ""indice Insee de la Bourse de Paris' from 1965 to 1987."
Foundation,31 December 1987
Operator,Euronext
Exchanges,Euronext Paris
Trading symbol,^FCHI
Constituents,40
Type,Large cap
Market cap,€2.356 trillion (3 February 2023)[1]
Weighting method,Free-float capitalization-weighted
Related indices,"CAC Next 20, CAC Small"
Website,www.euronext.com
