Year,Closing level,Change in Index in Points,Change in Index in %
1969,334.12,,
1970,310.48,−23.64,−7.08
1971,286.13,−24.35,−7.84
1972,335.18,49.05,17.14
1973,325.65,−9.53,−2.84
1974,225.45,−100.20,−30.77
1975,294.6,69.15,30.67
1976,244.5,−50.10,−17.01
1977,228.98,−15.52,−6.35
1978,335.53,106.55,46.53
1979,392.69,57.16,17.04
1980,422.39,29.70,7.56
1981,352.11,−70.28,−16.64
1982,352.82,0.71,0.20
1983,552.86,200.04,56.70
1984,640.01,87.15,15.76
1985,937.79,297.78,46.53
1986,1403.51,465.72,49.66
1987,1000.0,−403.51,−28.75
1988,1573.94,573.94,57.39
1989,2001.08,427.14,27.14
1990,1517.93,−483.15,−24.14
1991,1765.66,247.73,16.32
1992,1857.8,92.14,5.22
1993,2268.22,410.42,22.09
1994,1881.15,−387.07,−17.06
1995,1871.97,−9.18,−0.49
1996,2315.73,443.76,23.71
1997,2998.91,683.18,29.50
1998,3942.66,943.75,31.47
1999,5858.32,1915.66,48.59
2000,5926.42,68.10,1.16
2001,4624.58,"−1,301.84",−21.97
2002,3063.91,"−1,560.67",−33.75
2003,3557.9,493.99,16.12
2004,3821.16,263.26,7.40
2005,4715.23,894.07,23.40
2006,5541.76,826.53,17.53
2007,5614.08,72.32,1.31
2008,3217.97,"−2,396.11",−42.68
2009,3936.33,718.36,22.32
2010,3804.78,−131.55,−3.34
2011,3159.81,−644.97,−16.95
2012,3641.07,481.26,15.23
2013,4295.95,654.88,17.99
2014,4272.75,−23.20,−0.54
2015,4637.06,364.31,8.53
2016,4862.31,225.25,4.86
2017,5312.56,450.25,9.26
2018,4730.69,−581.87,−10.95
2019,5978.06,1247.37,26.37
2020,5551.41,−426.65,−7.68
2021,7153.03,1601.62,28.85
2022,6473.76,−679.27,−9.50
2023,7543.18,1069.42,16.52
2024,7380.74,−162.44,-2.15
