Company,Sector,GICS Sub-Industry,Ticker
Accor,Consumer Services,"Hotels, Restaurants & Leisure",AC.PA
Air Liquide,Basic Materials,Industrial Gases,AI.PA
Airbus,Industrials,Aerospace & Defense,AIR.PA
ArcelorMittal,Basic Materials,Steel,MT.AS
Axa,Financial Services,Life & Health Insurance,CS.PA
BNP Paribas,Financial Services,Diversified Banks,BNP.PA
Bouygues,Industrials,Construction & Engineering,EN.PA
Bureau Veritas,Inspection and certification,Consulting,BVI.PA
Capgemini,Technology,IT Consulting & Other Services,CAP.PA
Carrefour,Consumer Defensive,Hypermarkets & Super Centers,CA.PA
Crédit Agricole,Financial Services,Regional Banks,ACA.PA
Danone,Consumer Defensive,Packaged Foods & Meats,BN.PA
Dassault Systèmes,Technology,Application Software,DSY.PA
Edenred,Industrials,Transaction Processing Services,EDEN.PA
Engie,Utilities,Gas Utilities,ENGI.PA
EssilorLuxottica,Healthcare,"Apparel, Accessories & Luxury Goods",EL.PA
Eurofins Scientific,Healthcare,Biotechnologies,ERF.PA
Hermès,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",RMS.PA
Kering,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",KER.PA
L'Oréal,Consumer Defensive,Personal Products,OR.PA
Legrand,Industrials,Electrical Components & Equipment,LR.PA
LVMH,Consumer Cyclical,"Apparel, Accessories & Luxury Goods",MC.PA
Michelin,Industrials,Tires & Rubber,ML.PA
Orange,Communication Services,Integrated Telecommunication Services,ORA.PA
Pernod Ricard,Consumer Defensive,Distillers & Vintners,RI.PA
Publicis,Communication Services,Advertising,PUB.PA
Renault,Consumer Cyclical,Automobile Manufacturers,RNO.PA
Safran,Industrials,Aerospace & Defense,SAF.PA
Saint-Gobain,Industrials,Building Products,SGO.PA
Sanofi,Healthcare,Pharmaceuticals,SAN.PA
Schneider Electric,Industrials,Electrical Components & Equipment,SU.PA
Société Générale,Financial Services,Diversified Banks,GLE.PA
Stellantis,Consumer Cyclical,Automobile Manufacturers,STLAP.PA
STMicroelectronics,Technology,Semiconductors,STMPA.PA
Teleperformance,Communication Services,Outsourcing,TEP.PA
Thales,Industrials,Aerospace & Defense,HO.PA
TotalEnergies,Energy,Integrated Oil & Gas,TTE.PA
Unibail-Rodamco-Westfield,Real Estate,Retail REITs,URW.PA
Veolia,Industrials,Multi-Utilities,VIE.PA
Vinci,Industrials,Construction & Engineering,DG.PA
