Year,Closing level,Change in Index in Points,Change in Index in %
2005,923.45,,
2006,2041.05,1117.60,121.02
2007,5338.28,3297.23,161.55
2008,1817.72,"−3,520.56",−65.95
2009,3575.68,1757.96,96.71
2010,3128.26,−447.42,−12.51
2011,2345.74,−782.52,−25.01
2012,2522.95,177.21,7.55
2013,2330.03,−192.92,−7.65
2014,3533.71,1203.68,51.66
2015,3731.0,197.29,5.58
2016,3310.08,−420.92,−11.28
2017,4030.85,720.77,21.78
2018,3010.65,"−1,020.20",−25.31
2019,4096.58,1085.93,36.07
2020,5211.29,1114.71,27.21
2021,4940.37,−270.92,−5.20
2022,3871.64,−1068.73,−21.63
2023,3431.11,−440.53,−11.38
2024,3934.91,+503.80,14.68
