Ticker,Company,Segment,Exchange,Weighting (%)
SSE: 600519,Kweichow Moutai,Consumer Staples,Shanghai,5.972
SSE: 601318,Ping An Insurance,Financials,Shanghai,2.59
SZSE: 300750,CATL,Industrials,Shenzhen,2.421
SSE: 600036,China Merchants Bank,Financials,Shanghai,2.225
SZSE: 000333,Midea Group,Consumer Discretionary,Shenzhen,1.727
SZSE: 000858,Wuliangye Yibin,Consumer Staples,Shenzhen,1.549
SSE: 600900,China Yangtze Power,Utilities,Shanghai,1.375
SSE: 601166,Industrial Bank,Financials,Shanghai,1.358
SSE: 601899,Zijin Mining Group,Materials,Shanghai,1.211
SSE: 600030,CITIC Securities,Financials,Shanghai,1.166
SSE: 600276,Jiangsu Hengrui Medicine,Health Care,Shanghai,1.068
SSE: 601398,Industrial and Commercial Bank of China,Financials,Shanghai,1.048
SSE: 600887,Inner Mongolia Yili Industrial Group,Consumer Staples,Shanghai,1.012
SZSE: 300059,East Money,Financials,Shenzhen,0.999
SZSE: 000651,Gree Electric,Consumer Discretionary,Shenzhen,0.987
SZSE: 300760,Mindray,Health Care,Shenzhen,0.983
SZSE: 002594,BYD,Consumer Discretionary,Shenzhen,0.972
SSE: 601328,Bank of Communications,Financials,Shanghai,0.966
SSE: 600309,Wanhua Chemical Group,Materials,Shanghai,0.841
SZSE: 000725,BOE Technology Group,Information Technology,Shenzhen,0.839
SSE: 600919,Bank of Jiangsu,Financials,Shanghai,0.79
SZSE: 002475,Luxshare Precision Industry,Information Technology,Shenzhen,0.774
SZSE: 300124,Shenzhen Inovance Technology,Industrials,Shenzhen,0.757
SSE: 601288,Agricultural Bank of China,Financials,Shanghai,0.75
SZSE: 002415,Hangzhou Hikvision Digital Technology,Information Technology,Shenzhen,0.732
SZSE: 000568,Luzhou Lao Jiao,Consumer Staples,Shenzhen,0.726
SSE: 601012,Longi Green Energy Technology,Information Technology,Shanghai,0.722
SSE: 601088,China Shenhua Energy,Energy,Shanghai,0.714
SSE: 601816,Beijing-Shanghai High Speed Railway,Industrials,Shanghai,0.696
SSE: 600028,China Petroleum & Chemical Corporation,Energy,Shanghai,0.667
