Date,In,Out
11 June 2007[6],Oceanwide Real Estate Group and 27 companies,
November 2007,,
June 2008,,
November 2008,,
June 2009,,
November 2009,,
June 2010,,
16 July 2010[7],Agricultural Bank of China,Guangzhou Shipyard International
November 2010,,
June 2011,,
November 2011,,
11 June 2012[8],Oceanwide Real Estate Group and 17 companies,
November 2012,,
June 2013,,
November 2013,,
June 2014,,
November 2014,,
1 June 2015[9],Oceanwide Holdings and 17 companies,
November 2015,,
30 May 2016[10],,
28 November 2016[11],,Oceanwide Holdings and 29 companies
31 May 2017[12],,
27 November 2017[13],,
28 May 2018[14],,
