Date,Component excluded,Component included,Reason for exclusion/ Comments
03.09.1990,Feldmühle Nobel,Metallgesellschaft,Takeover of Feldmühle Nobel by Stora Enso
03.09.1990,Nixdorf Germany,Preussag (now TUI),Merged with Siemens to form Siemens-Nixdorf
18.09.1995,Deutsche Babcock,SAP,Replaced by SAP because of lower market capitalisation
22.07.1996,Kaufhof,METRO,Merger of Kaufhof and Metro Cash & Carry
23.09.1996,Continental,Münchener Rück,"Continental was added back to the DAX on 22 September 2003, though it was demoted again in 2008 and added back again in 2012"
18.11.1996,Metallgesellschaft,Deutsche Telekom,IPO of Deutsche Telekom
22.06.1998,Bayerische Hypotheken- und Wechselbank,Adidas,Merger of Vereinsbank and Hypobank to form HypoVereinsbank
22.06.1998,Bayerische Vereinsbank,HypoVereinsbank,Merger of Vereinsbank and Hypobank to form HypoVereinsbank
21.12.1998,Daimler-Benz,DaimlerChrysler (now Daimler),Merger of Daimler-Benz with Chrysler
22.03.1999,Degussa,Degussa-Hüls,Merger of Degussa AG with Hüls AG and renaming to Degussa-Hüls AG
25.03.1999,Thyssen,ThyssenKrupp,Merger of Thyssen and Krupp
20.09.1999,Hoechst,Fresenius Medical Care,Merger of Hoechst and Rhône-Poulenc with Aventis
14.02.2000,Mannesmann,Epcos,Takeover of Mannesmann by Vodafone
19.06.2000,Veba,E.ON,Merger of Veba and Viag to form E.ON
19.06.2000,VIAG,Infineon,Merger of Veba and Viag to form E.ON
18.12.2000,Degussa-Hüls,Degussa,Merger of Degussa-Hüls AG and SKW Trostberg AG to new Degussa AG
19.03.2001,KarstadtQuelle,Deutsche Post,IPO of Deutsche Post
23.07.2001,Dresdner Bank,MLP Vz.,Takeover of Dresdner Bank by Allianz
23.09.2002,Degussa,Altana,Inadequate market capitalisation
23.12.2002,Epcos,Deutsche Börse,"Fast-exit of Epcos, as Epcos' market capitalisation became inadequate.[16]"
22.09.2003,MLP,Continental,Inadequate free float and market capitalisation.
31.01.2005,,Lanxess,"Lanxess was spun off from Bayer, for calculating reasons added to the DAX as a temporary 31st component, and removed a day later. It was added to the DAX in 2012 and removed again in 2015."
01.02.2005,Lanxess,,"Lanxess was spun off from Bayer, for calculating reasons added to the DAX as a temporary 31st component, and removed a day later. It was added to the DAX in 2012 and removed again in 2015."
19.12.2005,HypoVereinsbank,Hypo Real Estate,Takeover of HypoVereinsbank by UniCredit
18.09.2006,Schering,Postbank,Takeover of Schering by Bayer
18.06.2007,Altana,Merck,"After the sale of Nycomed, inadequate market capitalisation[17]"
22.09.2008,TUI,K+S,"Fast-entry of K+S, inadequate market capitalisation of TUI[18]"
22.12.2008,Continental,Beiersdorf,Fast-exit of Continental because of inadequate free-float market capitalisation after the acquisition by Schaeffler Group
22.12.2008,Hypo Real Estate,Salzgitter,"Fast-exit of Hypo Real Estate because of inadequate free-float market capitalisation after a stake by American investor JC Flowers, as well as huge decline in market capitalisation during the 2008 financial crisis"
23.03.2009,Deutsche Postbank,Hannover Re,Fast-exit due to inadequate market capitalisation[19]
23.03.2009,Infineon Technologies,Fresenius Vz,Fast-exit due to inadequate market capitalisation[19]
