Year,Year end value,"Change, in points","Change, in %"
1986,900.82,,
1987,648.13,−252.69,−28.05
1988,861.36,213.23,32.90
1989,1098.49,237.13,27.53
1990,858.72,−239.77,−21.83
1991,1000.0,141.28,16.45
1992,1033.51,33.51,3.35
1993,1433.34,399.83,38.69
1994,1320.59,−112.75,−7.87
1995,1506.82,186.23,14.10
1996,1850.32,343.50,22.80
1997,2531.99,681.67,36.84
1998,3342.32,810.33,32.00
1999,4904.46,1562.14,46.74
2000,4772.39,−132.07,−2.69
2001,3806.13,−966.26,−20.25
2002,2386.41,−1419.72,−37.30
2003,2760.66,374.25,15.68
2004,2951.24,190.58,6.90
2005,3578.93,627.69,21.27
2006,4119.94,541.01,15.12
2007,4399.72,279.78,6.79
2008,2451.48,−1948.24,−44.28
2009,2966.24,514.76,21.00
2010,2792.82,−173.42,−5.85
2011,2316.55,−476.27,−17.05
2012,2635.93,319.38,13.79
2013,3109.0,473.07,17.95
2014,3146.43,37.43,1.20
2015,3267.52,121.09,3.85
2016,3290.52,23.00,0.7
2017,3503.96,213.44,6.47
2018,3001.42,−502.54,−14.34
2019,3745.16,743.73,24.78
2020,3552.64,−192.52,−5.14
2021,4298.41,745.77,20.99
2022,3793.62,−504.79,−11.74
2023,4521.65,728.03,19.19
2024,4895.98,374.33,8.28
