Ticker,Main listing,Name,Corporate form,Registered office,Sector,Founded
ADS.DE,FWB: ADS,Adidas,Aktiengesellschaft,Germany,Consumer Discretionary,1924
ADYEN.AS,Euronext: ADYEN,Adyen,Naamloze vennootschap,Netherlands,Financials,2006
AD.AS,Euronext: AD,Ahold Delhaize,Naamloze vennootschap,Netherlands,Consumer Staples,2016 (1867)
AI.PA,Euronext Paris: AI,Air Liquide,Société Anonyme,France,Materials,1902
AIR.PA,Euronext: AIR,Airbus,Societas Europaea,France,Industrials,1970
ALV.DE,FWB: ALV,Allianz,Societas Europaea,Germany,Financials,1890
ABI.BR,Euronext: ABI,Anheuser-Busch InBev,Société Anonyme/ Naamloze vennootschap,Belgium,Consumer Staples,2008 (1366/1888/1852/1895)
ARGX.BR,Euronext: ARGX,Argenx,Naamloze vennootschap,Netherlands,Health Care,2008
ASML.AS,Euronext: ASML,ASML Holding,Naamloze vennootschap,Netherlands,Information Technology,1984
CS.PA,Euronext: CS,Axa,Société Anonyme,France,Financials,1816
BAS.DE,FWB: BAS,BASF,Societas Europaea,Germany,Materials,1865
BAYN.DE,FWB: BAYN,Bayer,Aktiengesellschaft,Germany,Health Care,1863
BBVA.MC,BMAD: BBVA,BBVA,Sociedad Anónima,Spain,Financials,1857
SAN.MC,BMAD: SAN,Banco Santander,Sociedad Anónima,Spain,Financials,1857
BMW.DE,FWB: BMW,BMW,Aktiengesellschaft,Germany,Consumer Discretionary,1916
BNP.PA,Euronext Paris: BNP,BNP Paribas,Société Anonyme,France,Financials,2002 (1848/1872)
BN.PA,Euronext: BN,Danone,Société Anonyme,France,Consumer Staples,1919
DB1.DE,FWB: DBK,Deutsche Bank,Aktiengesellschaft,Germany,Financials,1870
DB1.DE,FWB: DB1,Deutsche Börse,Aktiengesellschaft,Germany,Financials,1992
DHL.DE,FWB: DPW,Deutsche Post,Aktiengesellschaft,Germany,Industrials,1995
DTE.DE,FWB: DTE,Deutsche Telekom,Aktiengesellschaft,Germany,Communication,1995
ENEL.MI,BIT: ENEL,Enel,Società per azioni,Italy,Utilities,1962
ENI.MI,BIT: ENI,Eni,Società per azioni,Italy,Energy,1953
EL.PA,Euronext: EI,EssilorLuxottica,Société anonyme,France,Health Care,1849
RACE.MI,BIT: RACE,Ferrari,Naamloze vennootschap,Netherlands,Consumer Discretionary,1939
RMS.PA,Euronext: RMS,Hermès,Société Anonyme,France,Consumer Discretionary,1837
IBE.MC,BMAD: IBE,Iberdrola,Sociedad Anónima,Spain,Utilities,1992 (1907/1944)
ITX.MC,BMAD: ITX,Inditex,Sociedad Anónima,Spain,Consumer Discretionary,1985
IFX.DE,FWB: IFX,Infineon Technologies,Aktiengesellschaft,Germany,Information Technology,1999
INGA.AS,Euronext: INGA,ING Group,Naamloze vennootschap,Netherlands,Financials,1991
ISP.MI,BIT: ISP,Intesa Sanpaolo,Società per azioni,Italy,Financials,2007 (1563)
OR.PA,Euronext: OR,L'Oréal,Société Anonyme,France,Consumer Staples,1909
MC.PA,Euronext: MC,LVMH Moët Hennessy Louis Vuitton,Societas Europaea,France,Consumer Discretionary,1987 (1743 / 1765 / 1854)
MBG.DE,FWB: MBG,Mercedes-Benz Group,Aktiengesellschaft,Germany,Consumer Discretionary,2007 (1926)
MUV2.DE,FWB: MUV2,Munich Re,Aktiengesellschaft,Germany,Financials,1880
NDA-FI.HE,Nasdaq Helsinki: NDA FI,Nordea,Aktiebolag,Finland,Financials,1820
PRX.AS,Euronext: PRX,Prosus,Naamloze vennootschap,Netherlands,Consumer Discretionary,2019
RHM.DE,FWB: RHM,Rheinmetall,Aktiengesellschaft,Germany,Industrials,1889
SAF.PA,Euronext: SAF,Safran,Société Anonyme,France,Industrials,2005
SGO.PA,Euronext: SGO,Saint-Gobain,Société Anonyme,France,Industrials,1665
SAN.PA,Euronext: SAN,Sanofi,Société Anonyme,France,Health Care,2004 (1834/1899/1973)
SAP.DE,FWB: SAP,SAP,Societas Europaea,Germany,Information Technology,1972
SU.PA,Euronext: SU,Schneider Electric,Societas Europaea,France,Industrials,1836
SIE.DE,FWB: SIE,Siemens,Aktiengesellschaft,Germany,Industrials,1847
ENR.DE,FWB: ENR,Siemens Energy,Aktiengesellschaft,Germany,Industrials,2020
TTE.PA,Euronext: TTE,TotalEnergies,Societas Europaea,France,Energy,1924
DG.PA,Euronext: DG,Vinci SA,Société Anonyme,France,Industrials,1899
UCG.MI,BIT: UCG,UniCredit,Società per azioni,Italy,Financials,1998
VOW.DE,FWB: VOW,Volkswagen Group,Aktiengesellschaft,Germany,Consumer Discretionary,1937
WKL.AS,Euronext: WKL,Wolters Kluwer,Naamloze vennootschap,Netherlands,Industrials,1968
