Year,Closing level,Change in Index in Points,Change in Index in %
1985,132.29,,
1986,141.41,9.12,6.89
1987,156.25,14.84,10.49
1988,177.41,21.16,13.54
1989,223.84,46.43,26.17
1990,200.53,−23.31,−10.41
1991,330.86,130.33,64.99
1992,360.19,29.33,8.86
1993,398.28,38.09,10.57
1994,404.27,5.99,1.50
1995,576.23,171.96,42.54
1996,821.36,245.13,42.54
1997,990.8,169.44,20.63
1998,1836.01,845.21,85.31
1999,3707.83,1871.81,101.95
2000,2341.7,"−1,366.13",−36.84
2001,1577.05,−764.65,−32.65
2002,984.36,−592.69,−37.58
2003,1467.92,483.56,49.12
2004,1621.12,153.20,10.44
2005,1645.2,24.08,1.49
2006,1756.9,111.70,6.79
2007,2084.93,328.03,18.67
2008,1211.65,−873.28,−41.89
2009,1860.31,648.66,53.54
2010,2217.86,357.55,19.22
2011,2277.83,59.97,2.70
2012,2660.93,383.10,16.82
2013,3592.0,931.07,34.99
2014,4236.28,644.28,17.94
2015,4593.27,356.99,8.43
2016,4863.62,270.35,5.89
2017,6396.42,1532.80,31.52
2018,6329.96,−66.46,−1.04
2019,8733.07,2403.11,37.96
2020,12888.28,4155.21,47.58
2021,16320.08,3431.80,26.63
2022,10939.76,"−5,380.32",−32.97
2023,16825.93,5886.17,53.81
2024,21012.17,4186.24,24.88
