Date,Added,Added,Removed,Removed,Reason
Date,Ticker,Security,Ticker,Security,Reason
"October 30, 2025",SOLS,Solstice Advanced Materials,,,Solstice Advanced Materials was spun off from Honeywell.[16]
"July 28, 2025",TRI,Thomson Reuters,,,Thomson Reuters replaced Ansys in the index.[17]
"July 17, 2025",,,ANSS,Ansys,Ansys was acquired by Synopsys.
"May 19, 2025",SHOP,Shopify,MDB,MongoDB,MongoDB did not meet the minimum monthly weight requirements.[18]
"December 23, 2024",PLTR,Palantir Technologies,ILMN,Ilumina,Annual index reconstitution.[19]
"December 23, 2024",MSTR,MicroStrategy,MRNA,Moderna,Annual index reconstitution.[19]
"December 23, 2024",AXON,Axon Enterprise,SMCI,Supermicro,Annual index reconstitution.[19]
"November 18, 2024",APP,AppLovin,DLTR,Dollar Tree,Dollar Tree did not meet the minimum monthly weight requirements.[20]
"July 22, 2024",SMCI,Supermicro,WBA,Walgreens Boots Alliance,WBA did not meet the minimum monthly weight requirements.[21]
"June 24, 2024",ARM,Arm Holdings,SIRI,Sirius XM,Sirius XM did not meet the minimum monthly weight requirements.[22][23]
"March 18, 2024",LIN,Linde,SPLK,Splunk,Splunk was acquired by Cisco.[24]
"December 18, 2023",CDW,CDW,ALGN,Align Technology,Annual index reconstitution.[25]
"December 18, 2023",CCEP,Coca-Cola Europacific Partners,EBAY,EBay,Annual index reconstitution.[25]
"December 18, 2023",DASH,DoorDash,ENPH,Enphase Energy,Annual index reconstitution.[25]
"December 18, 2023",MDB,MongoDB,JD,JD.com,Annual index reconstitution.[25]
"December 18, 2023",ROP,Roper Technologies,LCID,Lucid Group,Annual index reconstitution.[25]
"December 18, 2023",SPLK,Splunk,ZM,Zoom Video Communications,Annual index reconstitution.[25]
"December 14, 2023",TTWO,Take-Two Interactive,SGEN,Seagen Inc.,Seagen merged with Pfizer.[26]
"July 17, 2023",TTD,The Trade Desk,ATVI,Activision Blizzard,Activision Blizzard was acquired by Microsoft.[27]
"June 20, 2023",ON,Onsemi,RIVN,Rivian Automotive,Rivian did not meet the minimum monthly weight requirements.[28]
"June 7, 2023",GEHC,GE HealthCare,FI,Fiserv,Fiserv transferred its listing from NASDAQ to the NYSE.[29]
"December 19, 2022",CSGP,CoStar Group,VRSN,VeriSign,Annual index reconstitution.[30]
"December 19, 2022",RIVN,Rivian Automotive,SWKS,Skyworks,Annual index reconstitution.[30]
